sample_idx,target_class,formula,n_picks,depth,precision_train,n_tp,n_fp
0,walking,"( F[1102,1936]( G[37,174](x_3 => 0.0025) ) )",1,2,1.0,4,0
1,jumping,,0,0,0.0,0,0
2,jumping,"( F[1102,1936]( G[37,174](x_3 => -0.0625) ) )",1,2,0.333333,3,6
3,jumping,,0,0,0.0,0,0
4,jumping,,0,0,0.0,0,0
5,walking,,0,0,0.0,0,0
6,walking,"( F[1102,1936]( G[37,174](x_3 => 0.0025) ) )",1,2,1.0,4,0
7,jumping,,0,0,0.0,0,0
8,jumping,"( F[1102,1936]( G[37,174](x_3 => -0.0625) ) )",1,2,0.333333,3,6
9,jumping,,0,0,0.0,0,0
10,jumping,,0,0,0.0,0,0
11,walking,,0,0,0.0,0,0
12,jumping,"( F[1102,1936]( G[37,174](x_3 => -0.0625) ) )",1,2,0.333333,3,6
13,walking,"( F[1102,1936]( G[37,174](x_3 => 0.0025) ) )",1,2,1.0,4,0
14,jumping,,0,0,0.0,0,0
